country,oil,electricity,coal,natural_gas,biofuel
India,5048.86,1462.87,1273287,2078.86,91.72
China,15147.61,8539.69,5311746,12930.81,78.1
United States,20010.2,4128.18,515554.8,32288.23,1131.52
Indonesia,1727.74,312.42,221449.7,1273.5,178.82
Pakistan,473.19,146,37385.57,1640.31,
Nigeria,514.52,31.57,3354.33,731.68,
Brazil,3027.42,583.18,24290.57,1117.84,591.54
Bangladesh,160.06,99.55,8237.55,1073,
Russia,3684.3,1025.54,291356.8,16676.97,
Ethiopia,110.08,10.6,727.25,,
Mexico,1856.52,296.97,18150.64,3198.3,3.82
Japan,3376.12,939.31,206881.3,3278.74,14.71
Philippines,453.39,102.83,40828.42,79.5,3.48
Egypt,850.52,176.72,3077.67,2122.02,
DR Congo,25.78,11.25,24.8,,
Vietnam,494.31,251.55,90458.72,271.08,3.44
Iran,2136.07,315.84,1893.52,8648.22,
Turkey,1019.06,280.46,130489.7,1867.7,1.77
Germany,2179.15,507.25,195816.2,2737.45,69.51
Thailand,1248.28,199.67,39693.17,1726.81,48.08
Tanzania,57.91,7.93,884.05,63.86,2.86
United Kingdom,1384.34,287.13,6687.41,2476.99,45.46
France,1541.26,425.99,10277.21,1306.69,76.88
South Africa,601.24,200.56,192244.1,158.46,0.09 
Italy,1194.82,298.32,12723.64,2427.35,28.56
Kenya,119.39,9.62,1287.5,,
Myanmar,148.14,15.47,1601.3,133.77,
Colombia,319.93,80.94,8633.61,404.39,20.15
South Korea,2547.31,586.77,133767.1,2100.51,12.36
Uganda,43.12,3.97,,,
Sudan,127.21,14.88,,,
Spain,1289.05,232.66,7385.18,1159.5,28.64
Iraq,917.55,52.12,,681.51,
Algeria,427.61,77.79,20.56,1693.8,
Argentina,705.61,127.98,2311.88,1632.54,33.37
Afghanistan,27.1,5.99,1701.41,,
Poland,714.84,156.87,134175.3,708.29,22.87
Canada,2406.51,553.26,15680.27,4602.06,72.41
Morocco,318.25,35.28,13028.79,8.59,
Ukraine,247.78,99.69,8713.46,807.15,3.87
Angola,126.56,14.99,,49.35,
Saudi Arabia,3648.97,393.21,131.55,4303.81,
Uzbekistan,91.27,67.64,8152.57,1526.54,
Yemen,60.12,2.37,181.88,6.69,
Mozambique,40.18,13.09,12.13,47.57,1.79
Ghana,109.55,19.14,94.13,138.16,
Peru,210.4,50.87,784.36,253.75,10.69
Malaysia,717.39,181,37722.78,1500.84,16.45
Nepal,62.28,9.33,1184.98,,
Madagascar,19.1,2.25,563.28,,
Ivory Coast,60.46,8.74,,93.05,
Venezuela,366.96,56.77,89.91,624.94,
Cameroon,40.47,6.31,,30.97,
Niger,12.57,1.59,503.48,1.05,
Australia,1076.5,250,116523,1772.38,3.27
North Korea,16.8,18.24,23866.11,,
Syria,137.97,12.91,48.73,108.91,
Mali,46.18,3.5,,,
Taiwan,1022.31,274.03,67338.46,959.05,1.25
Burkina Faso,35.64,2.11,,,
Sri Lanka,121.41,10.4,2295.86,,
Malawi,10.65,1.1,54.64,,
Zambia,34.05,14.97,906.84,,
Kazakhstan,288.14,108.34,90674.41,798.92,
Chile,370.27,86.63,8987.56,244.23,
Romania,221.19,49.81,20687.78,355.09,10.01
Chad,14.51,0.3,,,
Somalia,5.56,0.36,,,
Ecuador,225.25,27.7,21.52,10.94,2.22
Guatemala,115.43,11.39,1427.67,0.11,0.05
Senegal,55.03,7.03,553.36,1.92,
Netherlands,862,111.76,9723.92,1173.96,28.27
Cambodia,73.33,11,2440.51,,
Zimbabwe,28.92,8.88,4785.13,,
Guinea,29.61,2.63,,,
Rwanda,8.99,0.86,45.19,2.11,
Benin,45.81,1.5,49.6,6.43,
Burundi,5.51,0.42,,,
Bolivia,87,10.56,9.92,107.88,3.62
Tunisia,108.06,19.06,0.75,181.98,
Haiti,18.78,0.42,,0.12,
Belgium,607.71,79.97,3545.8,541.96,18.08
Dominican Republic,133.86,19.09,2410.75,86.18,
Jordan,97.36,19.68,527.9,154.76,
South Sudan,13.88,0.6,,,
Cuba,164.8,14.56,1.1,23.29,
Honduras,67.24,8.79,209.44,,
Sweden,288.57,129.93,2330.96,31.43,31.35
Papua New Guinea,26.89,4.52,,5.9,
Czech Republic,216.06,62.08,42144.4,268.45,8.34
Azerbaijan,105.37,23.83,65.31,415.26,
Tajikistan,27.82,14.32,2465.87,3.02,
Greece,305.26,47.28,15418.65,182.7,5.76
Portugal,233.3,50.26,2.62,194.75,6.04
Hungary,181.67,43.19,6440.98,334.96,4.55
United Arab Emirates,938.5,161.89,3416.57,2333.97,
Belarus,130.87,35.52,843.07,589.15,
Israel,227.09,65.44,7138.18,406.48,
Togo,12.39,1.56,99.74,4.64,
Sierra Leone,9.07,0.12,,,
Austria,244.16,65.17,3096.4,287.32,4.05
Switzerland,190.78,57.19,160.14,110.8,1.45
Laos,24.39,8.83,15091.73,,
Hong Kong,413.85,44.68,6852.72,170.73,
Nicaragua,35.57,4.17,,,
Serbia,82.23,30.68,40823.79,103.79,0.01
Libya,229.84,24.67,,325.32,
Paraguay,57.34,17.49,0.89,,7.53
Kyrgyzstan,31.08,13.47,3695.32,15.47,
Bulgaria,100.51,35.37,39568.98,98.91,4.09
Turkmenistan,152.19,16.98,,1467.72,
El Salvador,58.22,6.67,,8,
Republic of the Congo,12.08,2.17,,14.94,
Singapore,1469.8,57.03,862.62,484.66,
Denmark,148.48,33.17,1956.94,77.97,5.56
Central African Republic,2.16,0.14,,,
Slovakia,91.31,26.37,4731.2,2.13,4.42
Finland,190.04,80.08,3529.6,40.86,13.71
Liberia,4.24,0.62,,,
Norway,218.1,121.9,901.04,160.61,7.58
Palestine,29.12,6.75,,,
New Zealand,148.54,41.47,2251.19,134.87,
Costa Rica,61.71,10.62,33.36,,
Lebanon,173.54,9.17,227.75,,
Ireland,154.04,30.74,1456.98,186.47,3.64
Mauritania,28.99,1.66,,,
Oman,210.93,39.01,34.4,966.35,
Panama,145.99,11.61,922.63,13.76,
Kuwait,372.23,78.7,147.4,921.12,
Croatia,70.11,17.11,740.76,88.34,0.22
Eritrea,4.35,0.34,,,
Georgia,32.45,13.9,417.73,98.76,
Mongolia,35.9,8.6,6976.03,,
Uruguay,51.73,11.81,13.24,3.04,1.56
Moldova,22.01,5.58,132.17,82.76,
Puerto Rico,80.04,18.1,1432.11,49.75,
Bosnia and Herzegovina,36.16,12.65,15746.06,7.97,
Gambia,3.34,0.41,,,
Albania,26.31,6.5,428.43,1.79,2.63
Jamaica,49.49,3.37,71.65,23.48,
Armenia,14.07,7.39,25.69,101.04,
Qatar,296.63,51.08,,1466.09,
Botswana,21.09,3.7,2525.92,,
Lithuania,66.11,11.23,273.26,56.55,2.38
Namibia,24.66,3.43,34.97,,
Gabon,15.88,2.5,,16.35,
Lesotho,5.36,0.83,,,
Guinea-Bissau,2.34,0.08,,,
Slovenia,53.03,13.08,2783.62,29.7,1.48
North Macedonia,22.15,5.79,6365.84,9.71,
Latvia,35.46,5.98,21.9,29.25,0.49
Equatorial Guinea,6.17,1.33,,53.13,
Trinidad and Tobago,32.47,8.98,,561.97,
Bahrain,71.63,34.52,,632.99,
Timor-Leste,4.18,0.41,,,
Estonia,30.68,7.48,3.31,12.53,
Mauritius,25.11,3.29,639.34,,
Cyprus,44.69,5.02,58.1,,0.18
Eswatini,6,1.34,137.18,,
Djibouti,4.4,0.52,,,
Fiji,8.54,0.94,,,
Comoros,2.58,0.11,,,
Guyana,16.49,0.9,,0.14,
Bhutan,3.49,9.75,246.17,,
Solomon Islands,2.14,0.09,,,
Macau,12.28,5.58,,4.25,
Luxembourg,50.09,6.12,67.38,20.99,
Suriname,14.88,1.85,,0.25,
Montenegro,7.89,2.96,1672.43,,
Cape Verde,4.49,0.33,,,
Western Sahara,1.81,,,,
Malta,46.35,2.79,,14.12,0.27
Maldives,14.08,0.82,,,
Brunei,17.02,5.24,1326.08,154.47,
Belize,5.06,0.44,,,
Bahamas,22.3,2.02,,0.49,
Iceland,20.45,19.3,191.27,,0.8
Martinique,12.59,,,,
Vanuatu,1.68,0.07,,,
French Polynesia,6.1,0.65,,,
New Caledonia,15.57,2.67,1116.26,,
Barbados,8.73,1.02,,0.56,
Sao Tome and Principe,1.08,0.1,,,
Samoa,2.22,0.18,,,
Saint Lucia,4.27,0.36,,,
Guam,11.51,1.66,,,
Kiribati,0.53,0.03,,,
Grenada,2.5,0.22,,,
Micronesia,1.21,,,,
Tonga,0.94,0.07,,,
Seychelles,5.53,0.57,,,
Aruba,7.87,0.81,,,
Saint Vincent and the Grenadines,1.8,0.16,,,
United States Virgin Islands,16.03,0.63,,,
Antigua and Barbuda,5.08,0.32,,,
Dominica,1.16,0.16,,,
Cayman Islands,4.8,0.7,,,
Bermuda,3.68,0.58,,,
Greenland,3.72,0.56,,,
Faroe Islands,5.21,0.39,,,
Saint Kitts and Nevis,1.8,0.18,,,
Turks and Caicos Islands,1.67,0.25,,,
American Samoa,2.58,0.16,,,
Gibraltar,83.65,0.24,,2.68,
Cook Islands,0.57,0.04,,,
Nauru,0.47,0.04,,,
Saint Pierre and Miquelon,0.43,0.05,,,
Montserrat,0.19,0.01,,,
Falkland Islands,0.25,0.02,,,
Niue,0.06,,,,
